,name1,name,liked,difficulty,passed,submitted,url
0,1. 两数之和,Two Sum,7187,简单,"730,970","1,550,838",https://leetcode-cn.com/problems/two-sum
1,2. 两数相加,Add Two Numbers,3572,中等,"279,121","771,450",https://leetcode-cn.com/problems/add-two-numbers
2,3. 无重复字符的最长子串,Longest Substring Without Repeating Characters,2857,中等,"295,175","916,923",https://leetcode-cn.com/problems/longest-substring-without-repeating-characters
3,4. 寻找两个有序数组的中位数,Median Of Two Sorted Arrays,1871,困难,"122,154","335,700",https://leetcode-cn.com/problems/median-of-two-sorted-arrays
4,5. 最长回文子串,Longest Palindromic Substring,1552,中等,"153,009","549,836",https://leetcode-cn.com/problems/longest-palindromic-substring
5,6. Z 字形变换,Zigzag Conversion,487,中等,"80,016","174,304",https://leetcode-cn.com/problems/zigzag-conversion
6,7. 整数反转,Reverse Integer,1532,简单,"238,799","716,934",https://leetcode-cn.com/problems/reverse-integer
7,8. 字符串转换整数 (atoi),String To Integer Atoi,492,中等,"92,779","497,016",https://leetcode-cn.com/problems/string-to-integer-atoi
8,9. 回文数,Palindrome Number,846,简单,"214,878","379,106",https://leetcode-cn.com/problems/palindrome-number
9,10. 正则表达式匹配,Regular Expression Matching,817,困难,"42,600","167,724",https://leetcode-cn.com/problems/regular-expression-matching
10,11. 盛最多水的容器,Container With Most Water,964,中等,"113,452","189,446",https://leetcode-cn.com/problems/container-with-most-water
11,12. 整数转罗马数字,Integer To Roman,244,中等,"55,373","89,375",https://leetcode-cn.com/problems/integer-to-roman
12,13. 罗马数字转整数,Roman To Integer,705,简单,"126,719","211,662",https://leetcode-cn.com/problems/roman-to-integer
13,14. 最长公共前缀,Longest Common Prefix,801,简单,"160,608","452,263",https://leetcode-cn.com/problems/longest-common-prefix
14,15. 三数之和,3Sum,1615,中等,"130,873","528,957",https://leetcode-cn.com/problems/3sum
15,16. 最接近的三数之和,3Sum Closest,313,中等,"60,717","143,626",https://leetcode-cn.com/problems/3sum-closest
16,17. 电话号码的字母组合,Letter Combinations Of A Phone Number,517,中等,"63,625","123,141",https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number
17,18. 四数之和,4Sum,343,中等,"45,273","124,780",https://leetcode-cn.com/problems/4sum
18,19. 删除链表的倒数第N个节点,Remove Nth Node From End Of List,621,中等,"101,348","276,067",https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list
19,20. 有效的括号,Valid Parentheses,1260,简单,"169,505","421,398",https://leetcode-cn.com/problems/valid-parentheses
20,21. 合并两个有序链表,Merge Two Sorted Lists,758,简单,"153,274","261,087",https://leetcode-cn.com/problems/merge-two-sorted-lists
21,22. 括号生成,Generate Parentheses,651,中等,"59,859","82,468",https://leetcode-cn.com/problems/generate-parentheses
22,23. 合并K个排序链表,Merge K Sorted Lists,419,困难,"61,358","127,527",https://leetcode-cn.com/problems/merge-k-sorted-lists
23,24. 两两交换链表中的节点,Swap Nodes In Pairs,357,中等,"58,028","91,693",https://leetcode-cn.com/problems/swap-nodes-in-pairs
24,25. K 个一组翻转链表,Reverse Nodes In K Group,323,困难,"30,652","55,513",https://leetcode-cn.com/problems/reverse-nodes-in-k-group
25,26. 删除排序数组中的重复项,Remove Duplicates From Sorted Array,1226,简单,"213,914","449,492",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array
26,27. 移除元素,Remove Element,438,简单,"114,668","202,116",https://leetcode-cn.com/problems/remove-element
27,28. 实现 strStr(),Implement Strstr,324,简单,"108,930","278,206",https://leetcode-cn.com/problems/implement-strstr
28,29. 两数相除,Divide Two Integers,234,中等,"28,780","151,846",https://leetcode-cn.com/problems/divide-two-integers
29,30. 串联所有单词的子串,Substring With Concatenation Of All Words,182,困难,"18,759","66,207",https://leetcode-cn.com/problems/substring-with-concatenation-of-all-words
30,31. 下一个排列,Next Permutation,333,中等,"33,931","105,067",https://leetcode-cn.com/problems/next-permutation
31,32. 最长有效括号,Longest Valid Parentheses,430,困难,"31,099","107,708",https://leetcode-cn.com/problems/longest-valid-parentheses
32,33. 搜索旋转排序数组,Search In Rotated Sorted Array,449,中等,"60,041","165,654",https://leetcode-cn.com/problems/search-in-rotated-sorted-array
33,34. 在排序数组中查找元素的第一个和最后一个位置,Find First And Last Position Of Element In Sorted Array,266,中等,"49,386","129,089",https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array
34,35. 搜索插入位置,Search Insert Position,377,简单,"98,798","221,091",https://leetcode-cn.com/problems/search-insert-position
35,36. 有效的数独,Valid Sudoku,236,中等,"47,061","81,930",https://leetcode-cn.com/problems/valid-sudoku
36,37. 解数独,Sudoku Solver,270,困难,"15,213","26,026",https://leetcode-cn.com/problems/sudoku-solver
37,38. 报数,Count And Say,351,简单,"62,766","116,983",https://leetcode-cn.com/problems/count-and-say
38,39. 组合总和,Combination Sum,469,中等,"50,726","75,114",https://leetcode-cn.com/problems/combination-sum
39,40. 组合总和 II,Combination Sum Ii,179,中等,"32,080","54,592",https://leetcode-cn.com/problems/combination-sum-ii
40,41. 缺失的第一个正数,First Missing Positive,327,困难,"30,489","82,064",https://leetcode-cn.com/problems/first-missing-positive
41,42. 接雨水,Trapping Rain Water,729,困难,"42,104","88,666",https://leetcode-cn.com/problems/trapping-rain-water
42,43. 字符串相乘,Multiply Strings,241,中等,"36,238","88,329",https://leetcode-cn.com/problems/multiply-strings
43,44. 通配符匹配,Wildcard Matching,238,困难,"15,369","60,165",https://leetcode-cn.com/problems/wildcard-matching
44,45. 跳跃游戏 II,Jump Game Ii,309,困难,"24,120","74,644",https://leetcode-cn.com/problems/jump-game-ii
45,46. 全排列,Permutations,475,中等,"63,776","87,305",https://leetcode-cn.com/problems/permutations
46,47. 全排列 II,Permutations Ii,189,中等,"31,280","55,845",https://leetcode-cn.com/problems/permutations-ii
47,48. 旋转图像,Rotate Image,320,中等,"46,258","70,233",https://leetcode-cn.com/problems/rotate-image
48,49. 字母异位词分组,Group Anagrams,226,中等,"40,321","67,589",https://leetcode-cn.com/problems/group-anagrams
49,"50. Pow(x, n)",Powx N,228,中等,"42,354","126,448",https://leetcode-cn.com/problems/powx-n
