name1,name,liked,difficulty,passed,submitted,url
1. 两数之和,Two Sum,7189,简单,"731,319","1,551,511",https://leetcode-cn.com/problems/two-sum
2. 两数相加,Add Two Numbers,3573,中等,"279,234","771,788",https://leetcode-cn.com/problems/add-two-numbers
3. 无重复字符的最长子串,Longest Substring Without Repeating Characters,2861,中等,"295,362","917,467",https://leetcode-cn.com/problems/longest-substring-without-repeating-characters
4. 寻找两个有序数组的中位数,Median Of Two Sorted Arrays,1872,困难,"122,230","335,872",https://leetcode-cn.com/problems/median-of-two-sorted-arrays
15. 三数之和,3Sum,1615,中等,"130,940","529,174",https://leetcode-cn.com/problems/3sum
5. 最长回文子串,Longest Palindromic Substring,1552,中等,"153,089","550,159",https://leetcode-cn.com/problems/longest-palindromic-substring
7. 整数反转,Reverse Integer,1532,简单,"238,889","717,227",https://leetcode-cn.com/problems/reverse-integer
53. 最大子序和,Maximum Subarray,1427,简单,"133,384","275,857",https://leetcode-cn.com/problems/maximum-subarray
20. 有效的括号,Valid Parentheses,1260,简单,"169,589","421,610",https://leetcode-cn.com/problems/valid-parentheses
26. 删除排序数组中的重复项,Remove Duplicates From Sorted Array,1226,简单,"214,044","449,689",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array
11. 盛最多水的容器,Container With Most Water,964,中等,"113,532","189,561",https://leetcode-cn.com/problems/container-with-most-water
136. 只出现一次的数字,Single Number,956,简单,"129,302","200,621",https://leetcode-cn.com/problems/single-number
9. 回文数,Palindrome Number,846,简单,"214,958","379,271",https://leetcode-cn.com/problems/palindrome-number
10. 正则表达式匹配,Regular Expression Matching,818,困难,"42,630","167,802",https://leetcode-cn.com/problems/regular-expression-matching
14. 最长公共前缀,Longest Common Prefix,802,简单,"160,690","452,504",https://leetcode-cn.com/problems/longest-common-prefix
21. 合并两个有序链表,Merge Two Sorted Lists,758,简单,"153,370","261,230",https://leetcode-cn.com/problems/merge-two-sorted-lists
70. 爬楼梯,Climbing Stairs,755,简单,"112,321","237,048",https://leetcode-cn.com/problems/climbing-stairs
42. 接雨水,Trapping Rain Water,730,困难,"42,127","88,700",https://leetcode-cn.com/problems/trapping-rain-water
13. 罗马数字转整数,Roman To Integer,705,简单,"126,765","211,731",https://leetcode-cn.com/problems/roman-to-integer
206. 反转链表,Reverse Linked List,692,简单,"132,207","200,402",https://leetcode-cn.com/problems/reverse-linked-list
22. 括号生成,Generate Parentheses,651,中等,"59,886","82,498",https://leetcode-cn.com/problems/generate-parentheses
121. 买卖股票的最佳时机,Best Time To Buy And Sell Stock,651,简单,"104,905","203,167",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock
19. 删除链表的倒数第N个节点,Remove Nth Node From End Of List,621,中等,"101,408","276,208",https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list
198. 打家劫舍,House Robber,567,简单,"61,384","145,249",https://leetcode-cn.com/problems/house-robber
237. 删除链表中的节点,Delete Node In A Linked List,557,简单,"67,390","85,398",https://leetcode-cn.com/problems/delete-node-in-a-linked-list
101. 对称二叉树,Symmetric Tree,538,简单,"77,383","157,274",https://leetcode-cn.com/problems/symmetric-tree
122. 买卖股票的最佳时机 II,Best Time To Buy And Sell Stock Ii,536,简单,"100,476","177,614",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii
17. 电话号码的字母组合,Letter Combinations Of A Phone Number,517,中等,"63,667","123,231",https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number
175. 组合两个表,Combine Two Tables,508,简单,"87,810","123,863",https://leetcode-cn.com/problems/combine-two-tables
8. 字符串转换整数 (atoi),String To Integer Atoi,494,中等,"92,815","497,265",https://leetcode-cn.com/problems/string-to-integer-atoi
6. Z 字形变换,Zigzag Conversion,487,中等,"80,056","174,392",https://leetcode-cn.com/problems/zigzag-conversion
771. 宝石与石头,Jewels And Stones,485,简单,"63,500","78,203",https://leetcode-cn.com/problems/jewels-and-stones
160. 相交链表,Intersection Of Two Linked Lists,479,简单,"60,718","119,547",https://leetcode-cn.com/problems/intersection-of-two-linked-lists
46. 全排列,Permutations,475,中等,"63,796","87,332",https://leetcode-cn.com/problems/permutations
39. 组合总和,Combination Sum,469,中等,"50,764","75,167",https://leetcode-cn.com/problems/combination-sum
176. 第二高的薪水,Second Highest Salary,468,简单,"64,936","194,678",https://leetcode-cn.com/problems/second-highest-salary
283. 移动零,Move Zeroes,452,简单,"91,138","156,335",https://leetcode-cn.com/problems/move-zeroes
33. 搜索旋转排序数组,Search In Rotated Sorted Array,449,中等,"60,085","165,756",https://leetcode-cn.com/problems/search-in-rotated-sorted-array
27. 移除元素,Remove Element,438,简单,"114,718","202,203",https://leetcode-cn.com/problems/remove-element
189. 旋转数组,Rotate Array,433,简单,"84,837","213,576",https://leetcode-cn.com/problems/rotate-array
141. 环形链表,Linked List Cycle,432,简单,"89,798","199,506",https://leetcode-cn.com/problems/linked-list-cycle
72. 编辑距离,Edit Distance,431,困难,"21,896","39,645",https://leetcode-cn.com/problems/edit-distance
32. 最长有效括号,Longest Valid Parentheses,430,困难,"31,118","107,773",https://leetcode-cn.com/problems/longest-valid-parentheses
23. 合并K个排序链表,Merge K Sorted Lists,419,困难,"61,377","127,595",https://leetcode-cn.com/problems/merge-k-sorted-lists
104. 二叉树的最大深度,Maximum Depth Of Binary Tree,408,简单,"103,822","145,203",https://leetcode-cn.com/problems/maximum-depth-of-binary-tree
78. 子集,Subsets,405,中等,"49,714","65,694",https://leetcode-cn.com/problems/subsets
55. 跳跃游戏,Jump Game,392,中等,"48,062","129,422",https://leetcode-cn.com/problems/jump-game
178. 分数排名,Rank Scores,391,中等,"29,286","49,308",https://leetcode-cn.com/problems/rank-scores
169. 多数元素,Majority Element,387,简单,"92,169","151,679",https://leetcode-cn.com/problems/majority-element
66. 加一,Plus One,386,简单,"101,230","240,388",https://leetcode-cn.com/problems/plus-one
35. 搜索插入位置,Search Insert Position,377,简单,"98,846","221,194",https://leetcode-cn.com/problems/search-insert-position
62. 不同路径,Unique Paths,371,中等,"57,919","100,079",https://leetcode-cn.com/problems/unique-paths
300. 最长上升子序列,Longest Increasing Subsequence,367,中等,"39,659","91,199",https://leetcode-cn.com/problems/longest-increasing-subsequence
88. 合并两个有序数组,Merge Sorted Array,366,简单,"91,872","200,023",https://leetcode-cn.com/problems/merge-sorted-array
24. 两两交换链表中的节点,Swap Nodes In Pairs,358,中等,"58,060","91,743",https://leetcode-cn.com/problems/swap-nodes-in-pairs
287. 寻找重复数,Find The Duplicate Number,353,中等,"28,729","46,307",https://leetcode-cn.com/problems/find-the-duplicate-number
148. 排序链表,Sort List,352,中等,"33,048","52,648",https://leetcode-cn.com/problems/sort-list
98. 验证二叉搜索树,Validate Binary Search Tree,352,中等,"55,249","196,797",https://leetcode-cn.com/problems/validate-binary-search-tree
38. 报数,Count And Say,351,简单,"62,789","117,021",https://leetcode-cn.com/problems/count-and-say
84. 柱状图中最大的矩形,Largest Rectangle In Histogram,346,困难,"21,265","56,263",https://leetcode-cn.com/problems/largest-rectangle-in-histogram
234. 回文链表,Palindrome Linked List,345,简单,"52,053","132,013",https://leetcode-cn.com/problems/palindrome-linked-list
64. 最小路径和,Minimum Path Sum,344,中等,"47,377","74,555",https://leetcode-cn.com/problems/minimum-path-sum
96. 不同的二叉搜索树,Unique Binary Search Trees,343,中等,"23,605","36,932",https://leetcode-cn.com/problems/unique-binary-search-trees
18. 四数之和,4Sum,343,中等,"45,302","124,862",https://leetcode-cn.com/problems/4sum
94. 二叉树的中序遍历,Binary Tree Inorder Traversal,342,中等,"85,133","123,001",https://leetcode-cn.com/problems/binary-tree-inorder-traversal
155. 最小栈,Min Stack,338,简单,"60,253","118,960",https://leetcode-cn.com/problems/min-stack
31. 下一个排列,Next Permutation,333,中等,"33,946","105,128",https://leetcode-cn.com/problems/next-permutation
102. 二叉树的层次遍历,Binary Tree Level Order Traversal,332,中等,"64,340","107,333",https://leetcode-cn.com/problems/binary-tree-level-order-traversal
